Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0402 22pf,C_0402_1005Metric,132.194800,-76.087600,180.000000,top
C2,1uF 0402,C_0402_1005Metric,132.950000,-78.100000,180.000000,top
C3,10uF 0402,C_0402_1005Metric,130.550000,-77.900000,90.000000,top
C4,10uF 0402,C_0402_1005Metric,129.550000,-77.900000,90.000000,top
C5,10uF 0402,C_0402_1005Metric,128.181600,-80.913600,90.000000,top
C6,0402 22pf,C_0402_1005Metric,129.098600,-76.062200,180.000000,top
D1,0402 LED,LED_0402_1005Metric,124.250000,-62.250000,0.000000,top
R1,5.1K 0402,R_0402_1005Metric,133.750000,-70.700000,90.000000,top
R2,5.1K 0402,R_0402_1005Metric,130.000000,-70.710000,90.000000,top
R3,22ohm 0402,R_0402_1005Metric,134.850000,-76.250000,90.000000,top
R4,22ohm 0402,R_0402_1005Metric,133.800000,-76.250000,90.000000,top
R5,2.2K 0402,R_0402_1005Metric,126.250000,-62.250000,0.000000,top
U1,AT90USB162-16MU,QFN-32-1EP_5x5mm_P0.5mm_EP3.6x3.6mm,132.000000,-82.000000,270.000000,top
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,132.000000,-61.000000,180.000000,top
Y1,8MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,129.731000,-73.649200,180.000000,top
